,rms,peaks,DateTime
36.812335600907026,0.00039048548,0,2025-09-30 13:48:36.812335601+02:00
36.815238095238094,0.00042276218,0,2025-09-30 13:48:36.815238095+02:00
36.81814058956916,0.00040169785,0,2025-09-30 13:48:36.818140590+02:00
36.82104308390023,0.00043446454,0,2025-09-30 13:48:36.821043084+02:00
36.82394557823129,0.00048066705,0,2025-09-30 13:48:36.823945578+02:00
36.826848072562356,0.00047382008,0,2025-09-30 13:48:36.826848073+02:00
36.82975056689342,0.0005456316,0,2025-09-30 13:48:36.829750567+02:00
36.83265306122449,0.0005676113,0,2025-09-30 13:48:36.832653061+02:00
36.83555555555556,0.0005606806,0,2025-09-30 13:48:36.835555556+02:00
36.83845804988662,0.00053594966,0,2025-09-30 13:48:36.838458050+02:00
36.841360544217686,0.00046823823,0,2025-09-30 13:48:36.841360544+02:00
36.84426303854875,0.0004101533,0,2025-09-30 13:48:36.844263039+02:00
36.84716553287982,0.00037365907,0,2025-09-30 13:48:36.847165533+02:00
36.85006802721088,0.0003563713,0,2025-09-30 13:48:36.850068027+02:00
36.85297052154195,0.00037280697,0,2025-09-30 13:48:36.852970522+02:00
36.855873015873016,0.00041406148,0,2025-09-30 13:48:36.855873016+02:00
36.85877551020408,0.0004440371,0,2025-09-30 13:48:36.858775510+02:00
36.86167800453515,0.00045264236,0,2025-09-30 13:48:36.861678005+02:00
36.86458049886621,0.00043904866,0,2025-09-30 13:48:36.864580499+02:00
36.86748299319728,0.00043478076,0,2025-09-30 13:48:36.867482993+02:00
36.870385487528345,0.00040875492,0,2025-09-30 13:48:36.870385488+02:00
36.87328798185941,0.00040801743,0,2025-09-30 13:48:36.873287982+02:00
36.87619047619047,0.00040441705,0,2025-09-30 13:48:36.876190476+02:00
36.87909297052154,0.0003825132,0,2025-09-30 13:48:36.879092971+02:00
36.88199546485261,0.00041605657,0,2025-09-30 13:48:36.881995465+02:00
36.884897959183675,0.0004221626,0,2025-09-30 13:48:36.884897959+02:00
36.88780045351474,0.0004048743,0,2025-09-30 13:48:36.887800454+02:00
36.8907029478458,0.00038232468,0,2025-09-30 13:48:36.890702948+02:00
36.89360544217687,0.00032109357,0,2025-09-30 13:48:36.893605442+02:00
36.89650793650794,0.0002930716,0,2025-09-30 13:48:36.896507937+02:00
36.899410430839005,0.00029191372,0,2025-09-30 13:48:36.899410431+02:00
36.902312925170065,0.00034567592,0,2025-09-30 13:48:36.902312925+02:00
36.90521541950113,0.00039750326,0,2025-09-30 13:48:36.905215420+02:00
36.9081179138322,0.0003949205,0,2025-09-30 13:48:36.908117914+02:00
36.91102040816327,0.00042000393,0,2025-09-30 13:48:36.911020408+02:00
36.913922902494335,0.00048699506,0,2025-09-30 13:48:36.913922902+02:00
36.916825396825395,0.0006530089,0,2025-09-30 13:48:36.916825397+02:00
36.91972789115646,0.0007500151,0,2025-09-30 13:48:36.919727891+02:00
36.92263038548753,0.0008314825,0,2025-09-30 13:48:36.922630385+02:00
36.9255328798186,0.00077850884,0,2025-09-30 13:48:36.925532880+02:00
36.92843537414966,0.0006305455,0,2025-09-30 13:48:36.928435374+02:00
36.931337868480725,0.00060088077,0,2025-09-30 13:48:36.931337868+02:00
36.93424036281179,0.0006076887,0,2025-09-30 13:48:36.934240363+02:00
36.93714285714286,0.0006483515,0,2025-09-30 13:48:36.937142857+02:00
36.94004535147393,0.0006459092,0,2025-09-30 13:48:36.940045351+02:00
36.94294784580499,0.0006109589,0,2025-09-30 13:48:36.942947846+02:00
36.945850340136055,0.0005130716,0,2025-09-30 13:48:36.945850340+02:00
36.94875283446712,0.00044243527,0,2025-09-30 13:48:36.948752834+02:00
36.95165532879818,0.0004521174,0,2025-09-30 13:48:36.951655329+02:00
36.95455782312925,0.0004691298,0,2025-09-30 13:48:36.954557823+02:00
36.95746031746032,0.00044953937,0,2025-09-30 13:48:36.957460317+02:00
36.960362811791384,0.0004442284,0,2025-09-30 13:48:36.960362812+02:00
36.96326530612245,0.0004122048,0,2025-09-30 13:48:36.963265306+02:00
36.96616780045351,0.00029502704,0,2025-09-30 13:48:36.966167800+02:00
36.96907029478458,0.00026262095,0,2025-09-30 13:48:36.969070295+02:00
36.97197278911565,0.00033639814,0,2025-09-30 13:48:36.971972789+02:00
36.974875283446714,0.00039316146,0,2025-09-30 13:48:36.974875283+02:00
36.977777777777774,0.0004713181,0,2025-09-30 13:48:36.977777778+02:00
36.98068027210884,0.0004794513,0,2025-09-30 13:48:36.980680272+02:00
36.98358276643991,0.00042552632,0,2025-09-30 13:48:36.983582766+02:00
36.986485260770976,0.00037904482,0,2025-09-30 13:48:36.986485261+02:00
36.989387755102044,0.00042432157,0,2025-09-30 13:48:36.989387755+02:00
36.992290249433104,0.0005916924,0,2025-09-30 13:48:36.992290249+02:00
36.99519274376417,0.0007175887,0,2025-09-30 13:48:36.995192744+02:00
36.99809523809524,0.00075276487,0,2025-09-30 13:48:36.998095238+02:00
37.000997732426306,0.00069025846,0,2025-09-30 13:48:37.000997732+02:00
37.00390022675737,0.0005851636,0,2025-09-30 13:48:37.003900227+02:00
37.006802721088434,0.00045212486,0,2025-09-30 13:48:37.006802721+02:00
37.0097052154195,0.0004259317,0,2025-09-30 13:48:37.009705215+02:00
37.01260770975057,0.00043757085,0,2025-09-30 13:48:37.012607710+02:00
37.015510204081636,0.00037670787,0,2025-09-30 13:48:37.015510204+02:00
37.018412698412696,0.00041685472,0,2025-09-30 13:48:37.018412698+02:00
37.021315192743764,0.00040970513,0,2025-09-30 13:48:37.021315193+02:00
37.02421768707483,0.00045801676,0,2025-09-30 13:48:37.024217687+02:00
37.0271201814059,0.00046569342,0,2025-09-30 13:48:37.027120181+02:00
37.03002267573696,0.0003974828,0,2025-09-30 13:48:37.030022676+02:00
37.032925170068026,0.0003624892,0,2025-09-30 13:48:37.032925169+02:00
37.03582766439909,0.00035717667,0,2025-09-30 13:48:37.035827664+02:00
37.03873015873016,0.00036864902,0,2025-09-30 13:48:37.038730159+02:00
37.04163265306123,0.00038949406,0,2025-09-30 13:48:37.041632653+02:00
37.04453514739229,0.0004016022,0,2025-09-30 13:48:37.044535147+02:00
37.047437641723356,0.00041147709,0,2025-09-30 13:48:37.047437642+02:00
37.05034013605442,0.00039664682,0,2025-09-30 13:48:37.050340136+02:00
37.05324263038549,0.00039820146,0,2025-09-30 13:48:37.053242630+02:00
37.05614512471655,0.00037074654,0,2025-09-30 13:48:37.056145125+02:00
37.05904761904762,0.00032642594,0,2025-09-30 13:48:37.059047619+02:00
37.061950113378686,0.000451563,0,2025-09-30 13:48:37.061950113+02:00
37.06485260770975,0.00050898246,0,2025-09-30 13:48:37.064852608+02:00
37.06775510204082,0.0005512275,0,2025-09-30 13:48:37.067755102+02:00
37.07065759637188,0.0005214347,0,2025-09-30 13:48:37.070657596+02:00
37.07356009070295,0.00040842846,0,2025-09-30 13:48:37.073560091+02:00
37.076462585034015,0.0003073547,0,2025-09-30 13:48:37.076462585+02:00
37.079365079365076,0.0002718128,0,2025-09-30 13:48:37.079365079+02:00
37.08226757369614,0.00026112216,0,2025-09-30 13:48:37.082267574+02:00
37.08517006802721,0.00028589513,0,2025-09-30 13:48:37.085170068+02:00
37.08807256235828,0.00030259672,0,2025-09-30 13:48:37.088072562+02:00
37.090975056689345,0.00026604472,0,2025-09-30 13:48:37.090975057+02:00
37.093877551020405,0.00042685674,0,2025-09-30 13:48:37.093877551+02:00
37.09678004535147,0.0006154348,0,2025-09-30 13:48:37.096780045+02:00
37.09968253968254,0.0007040392,0,2025-09-30 13:48:37.099682540+02:00
37.10258503401361,0.0007309256,0,2025-09-30 13:48:37.102585034+02:00
37.10548752834467,0.0006571409,0,2025-09-30 13:48:37.105487528+02:00
37.108390022675735,0.00046217043,0,2025-09-30 13:48:37.108390023+02:00
37.1112925170068,0.00041353522,0,2025-09-30 13:48:37.111292517+02:00
37.11419501133787,0.0004494916,0,2025-09-30 13:48:37.114195011+02:00
37.11709750566894,0.00055087125,0,2025-09-30 13:48:37.117097506+02:00
37.12,0.0007605331,0,2025-09-30 13:48:37.120000+02:00
37.122902494331065,0.00082162494,0,2025-09-30 13:48:37.122902494+02:00
37.12580498866213,0.0008579298,0,2025-09-30 13:48:37.125804989+02:00
37.1287074829932,0.00079002226,0,2025-09-30 13:48:37.128707483+02:00
37.13160997732426,0.000594256,0,2025-09-30 13:48:37.131609976+02:00
37.13451247165533,0.00046374014,0,2025-09-30 13:48:37.134512472+02:00
37.137414965986395,0.00029698978,0,2025-09-30 13:48:37.137414966+02:00
37.14031746031746,0.000324807,0,2025-09-30 13:48:37.140317460+02:00
37.14321995464853,0.00031972647,0,2025-09-30 13:48:37.143219955+02:00
37.14612244897959,0.00041979234,0,2025-09-30 13:48:37.146122449+02:00
37.14902494331066,0.00067251216,0,2025-09-30 13:48:37.149024943+02:00
37.151927437641724,0.00067849027,0,2025-09-30 13:48:37.151927438+02:00
37.15482993197279,0.00069428654,0,2025-09-30 13:48:37.154829932+02:00
37.15773242630385,0.0006207473,0,2025-09-30 13:48:37.157732426+02:00
37.16063492063492,0.00035641383,0,2025-09-30 13:48:37.160634921+02:00
37.16353741496599,0.0004115357,0,2025-09-30 13:48:37.163537415+02:00
37.166439909297054,0.00041210532,0,2025-09-30 13:48:37.166439909+02:00
37.16934240362812,0.0004100976,0,2025-09-30 13:48:37.169342404+02:00
37.17224489795918,0.0006259884,0,2025-09-30 13:48:37.172244898+02:00
37.17514739229025,0.0007556901,0,2025-09-30 13:48:37.175147392+02:00
37.17804988662132,0.0008774946,0,2025-09-30 13:48:37.178049887+02:00
37.180952380952384,0.0008904071,0,2025-09-30 13:48:37.180952381+02:00
37.183854875283444,0.0007714186,0,2025-09-30 13:48:37.183854875+02:00
37.18675736961451,0.00071482523,0,2025-09-30 13:48:37.186757370+02:00
37.18965986394558,0.0005544584,0,2025-09-30 13:48:37.189659864+02:00
37.192562358276646,0.00057449273,0,2025-09-30 13:48:37.192562358+02:00
37.195464852607714,0.0006290849,0,2025-09-30 13:48:37.195464853+02:00
37.198367346938774,0.00048906845,0,2025-09-30 13:48:37.198367347+02:00
37.20126984126984,0.0005078743,0,2025-09-30 13:48:37.201269841+02:00
37.20417233560091,0.00057569274,0,2025-09-30 13:48:37.204172336+02:00
37.20707482993197,0.0007206369,0,2025-09-30 13:48:37.207074830+02:00
37.209977324263036,0.0010303659,0,2025-09-30 13:48:37.209977324+02:00
37.212879818594104,0.0010323739,0,2025-09-30 13:48:37.212879819+02:00
37.21578231292517,0.0009652793,0,2025-09-30 13:48:37.215782313+02:00
37.21868480725624,0.0008201376,0,2025-09-30 13:48:37.218684807+02:00
37.2215873015873,0.0004731538,0,2025-09-30 13:48:37.221587302+02:00
37.224489795918366,0.0004497709,0,2025-09-30 13:48:37.224489796+02:00
37.22739229024943,0.00052516203,0,2025-09-30 13:48:37.227392290+02:00
37.2302947845805,0.0005557972,0,2025-09-30 13:48:37.230294785+02:00
37.23319727891156,0.0005609356,0,2025-09-30 13:48:37.233197279+02:00
37.23609977324263,0.0006674359,0,2025-09-30 13:48:37.236099773+02:00
37.239002267573696,0.00072982535,0,2025-09-30 13:48:37.239002268+02:00
37.24190476190476,0.0006802884,0,2025-09-30 13:48:37.241904762+02:00
